"Nro Patrimônio";"Patr Antigo";"Descrição Bem";"Conta Contábil";"Marca";"Modelo";"Nr Serie";"Sit Física";"Localização";"Data Aquisição";"Valor";"Observações"
"00116001";"";"Televisor LCD 42 pol";"44600000 - Equip. Comunicação";"LG";"";"00116001";"BOM";"77a CIPM";"2013-11-26";"1585.67";"Patr.Ant: 00142367 | SIAP 09/06/2026"
"00116002";"";"Televisor LCD 42 pol";"44600000 - Equip. Comunicação";"LG";"";"00116002";"BOM";"77a CIPM";"2013-11-26";"1585.67";"Patr.Ant: 00142368 | SIAP 09/06/2026"
"00116003";"";"Televisor LCD 42 pol";"44600000 - Equip. Comunicação";"LG";"";"00116003";"BOM";"77a CIPM";"2013-11-26";"1585.67";"Patr.Ant: 00142369 | SIAP 09/06/2026"
"00131193";"";"Console Veicular MVC 6000 Terminal Trunking Movel Digital TETRA KIT Bluetooth";"44600000 - Equip. Comunicação";"TELTRONIC";"";"00131193";"BOM";"77a CIPM";"2015-02-19";"17895.15";"Patr.Ant: 00148202 | SIAP 09/06/2026"
"00135572";"";"Televisor LED 32 pol";"44600000 - Equip. Comunicação";"AOC";"";"00135572";"BOM";"77a CIPM";"2015-02-25";"900.0";"SIAP 09/06/2026"
"00152437";"";"Caixa Amplificada de Som 80NW";"44600000 - Equip. Comunicação";"FRAHM";"";"00152437";"BOM";"77a CIPM";"2017-11-28";"649.9";"SIAP 09/06/2026"
"00164632";"";"Projetor de Multimidia";"44600000 - Equip. Comunicação";"BENQ";"";"00164632";"BOM";"77a CIPM";"2019-02-11";"2799.0";"SIAP 09/06/2026"
"00164691";"";"Microfone Sem Fio Duplo de Mao";"44600000 - Equip. Comunicação";"QUANTA";"";"00164691";"BOM";"77a CIPM";"2019-02-08";"736.1";"SIAP 09/06/2026"
"00178359";"";"Televisor Smart TV LED 55pol UHD 4K";"44600000 - Equip. Comunicação";"PHILIPS";"";"00178359";"BOM";"77a CIPM";"2022-04-18";"3173.0";"SIAP 09/06/2026"
"00178414";"";"Televisor Smart TV LED 43pol Full HD Wifi USB HDMI";"44600000 - Equip. Comunicação";"AOC";"";"00178414";"BOM";"77a CIPM";"2022-06-01";"1748.99";"SIAP 09/06/2026"
"00232671";"";"Televisor Smart TV LED 43pol LCD/LED Bivolt - Serie A2";"44600000 - Equip. Comunicação";"SEMP TOSHIBA";"";"00232671";"BOM";"77a CIPM";"2024-10-16";"1391.16";"SIAP 09/06/2026"
"00111701";"";"Impressora Laser LED A4 Duplex Preta M16MB";"44500000 - Equip. Processamento de Dados";"HP";"";"00111701";"BOM";"77a CIPM";"2013-08-31";"1640.0";"SIAP 09/06/2026"
"00121121";"";"Microcomputador Core i5 UDP Intel 3470 8GB 500GB Monitor LED 20pol";"44500000 - Equip. Processamento de Dados";"DATEN";"";"00121121";"BOM";"77a CIPM";"2014-07-08";"2453.3";"SIAP 09/06/2026"
"00121122";"";"Microcomputador Core i5 UDP Intel 3470 8GB 500GB Monitor LED 20pol";"44500000 - Equip. Processamento de Dados";"DATEN";"";"00121122";"BOM";"77a CIPM";"2014-07-08";"2453.3";"SIAP 09/06/2026"
"00122642";"";"Microcomputador Core i5 Monitor LED 20pol 500GB 8GB";"44500000 - Equip. Processamento de Dados";"";"";"00122642";"BOM";"77a CIPM";"2014-08-29";"2453.3";"SIAP 09/06/2026"
"00122643";"";"Microcomputador Core i5 Monitor LED 20pol 500GB 8GB";"44500000 - Equip. Processamento de Dados";"";"";"00122643";"BOM";"77a CIPM";"2014-08-29";"2453.3";"SIAP 09/06/2026"
"00126574";"";"Scanner de Mesa A4 e Oficio";"44500000 - Equip. Processamento de Dados";"AVISION";"";"00126574";"BOM";"77a CIPM";"2014-11-18";"1259.66";"SIAP 09/06/2026"
"00127438";"";"Microcomputador Portatil Notebook Modelo 80AU";"44500000 - Equip. Processamento de Dados";"LENOVO";"";"00127438";"BOM";"77a CIPM";"2014-12-19";"3066.66";"SIAP 09/06/2026"
"00129053";"";"Microcomputador Core i5 LI PLUS com Teclado e Mouse";"44500000 - Equip. Processamento de Dados";"LI PLUS";"";"00129053";"BOM";"77a CIPM";"2014-12-19";"2789.47";"SIAP 09/06/2026"
"00129252";"";"Microcomputador Core i5 LI PLUS com Teclado e Mouse";"44500000 - Equip. Processamento de Dados";"LI PLUS";"";"00129252";"BOM";"77a CIPM";"2014-12-19";"2789.47";"SIAP 09/06/2026"
"00133248";"";"Microcomputador Portatil Notebook ProBook 6455B Core i5 com Maleta";"44500000 - Equip. Processamento de Dados";"HP";"";"00133248";"BOM";"77a CIPM";"2014-12-17";"2937.35";"SIAP 09/06/2026"
"00146628";"";"Microcomputador Desktop 3.5GHz 16GB 500GB Win8.1 Monitor LED 20pol";"44500000 - Equip. Processamento de Dados";"LI PLUS";"";"00146628";"BOM";"77a CIPM";"2016-06-17";"3862.81";"SIAP 09/06/2026"
"00146629";"";"Microcomputador Desktop 3.5GHz 16GB 500GB Win8.1 Monitor LED 20pol";"44500000 - Equip. Processamento de Dados";"LI PLUS";"";"00146629";"BOM";"77a CIPM";"2016-06-17";"3862.81";"SIAP 09/06/2026"
